DisplayName;team;position;underposition;sessionDate;sessionType;allMaxSpeed;distanceTotal;distanceZ5Abs;distanceZ6Abs;maxSpeed;totalTime;entriesZ6Abs;Saison;
JOUEUR 15;U19;Milieu;Milieu Axial;14/08/2023;Pre saison;33,2;3816,585124;6,44233069;0;6,0972271;3036,099993;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;13/10/2023;Match Day -1;33,13;4545,316439;51,34534856;0;6,63611642;3033,300009;0;2023 - 2024;
JOUEUR 08;U17;Defenseur;Central Centre;18/03/2024;Match Day +2;34,6;4896,838577;42,27846056;0;6,55278302;3032,500006;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;18/03/2024;Match Day +2;33,13;3955,782498;38,05021357;0;6,50278298;3032,500006;0;2023 - 2024;
JOUEUR 11;U17;Defenseur;Lateral Droit;20/08/2024;Pre saison;33,2;3148,066132;22,07864406;0;6,40000512;3032,200009;0;2024 - 2025;
JOUEUR 12;U17;Milieu;Milieu Defensif;20/08/2024;Pre saison;33,13;3026,985501;5,89001528;0;6,25278278;3032,200009;0;2024 - 2025;
JOUEUR 01;U17;Attaquant;Aillier Gauche;20/08/2024;Pre saison;33,7;3253,034734;14,50113626;0;6,17778272;3032,200009;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;20/08/2024;Pre saison;30,29;2548,981441;0;0;5,10278186;3032,200009;0;2024 - 2025;
JOUEUR 08;U17;Defenseur;Central Centre;20/08/2024;Pre saison;34,6;3248,382914;0;0;5,01944846;3032,200009;0;2024 - 2025;
JOUEUR 13;U17;Milieu;Milieu Defensif;19/08/2025;Match Day +3;30,29;5600,327084;31,48775966;0;6,3611162;3029,899989;0;2025 - 2026;
JOUEUR 10;Pro2;Attaquant;Attaquant;22/07/2024;Pre saison;37,37;5522,211836;0;0;7,46111708;3027,099989;0;2024 - 2025;
JOUEUR 14;U19;Milieu;Milieu Axial;08/12/2023;Match Day -1;33;4423,622984;95,78851689;0;6,86944994;3026,799999;0;2023 - 2024;
JOUEUR 05;U19;Attaquant;Avant Centre;08/12/2023;Match Day -1;34,58;4152,734824;109,9347739;0;6,81111656;3026,799999;0;2023 - 2024;
JOUEUR 12;U17;Milieu;Milieu Defensif;08/12/2023;Match Day -1;33,13;4196,271141;31,43174635;0;6,46111628;3026,799999;0;2023 - 2024;
JOUEUR 06;U19;Attaquant;Aillier Droit;26/09/2025;Match Day -1;33,9;4046,92021;63,81389301;0;6,6527831;3026,599991;0;2025 - 2026;
JOUEUR 13;U17;Milieu;Milieu Defensif;26/09/2025;Match Day -1;30,29;4026,640228;21,13137684;0;6,28611614;3026,599991;0;2025 - 2026;
JOUEUR 04;Pro2;Attaquant;;23/04/2024;Match Day +2;36,3;2980,578222;10,86059985;0;6,51667188;3025,299991;0;2023 - 2024;
JOUEUR 07;U19;Milieu;Milieu Offensif;23/04/2024;Match Day +2;32,83;4035,610507;9,26898198;0;6,21111608;3025,299991;0;2023 - 2024;
